2526.60946	28.9454211853	1966762
2258.91283	18.6019013833	3233450
2580.1008	21.6314188754	3643240
1839.42234	18.2039453614	2760607
2007.99788	23.9654161318	1777075
1954.06814	19.1071831484	2267268
2850.20092	25.3243549132	2916107
2609.12046	31.3811571069	1845812
1896.127	18.3532163621	2532848
2215.02456	18.2661497588	3724562
2264.49867	19.5418917872	3056537
1719.10794	17.8881185171	2309237
1724.50399	14.0742228805	3423159
1836.26599	20.520674324	1990310
2803.27001	29.1996604431	2357919
2138.64372	16.0019041607	3439199
2632.42289	22.9416059883	2708067
1647.29517	13.118205998	3015922
2017.68983	24.0314706882	1846422
2460.07366	22.4829416937	3004118
1794.08558	15.1722228574	3349124
1689.54347	20.306139124	1817834
2634.31325	32.235427161	1811359
2286.65686	23.6047608071	2222140
1896.46807	18.3324091333	2530145
2748.83104	36.8534057037	1584822
1680.63781	18.9064260921	2073157
2374.92325	21.9360036887	2764943
2818.06738	24.9707841065	2684624
2112.53549	20.6830205038	2297658
1767.35019	19.2752631108	2180725
2722.39645	29.8191582788	2186885
3103.95078	36.0770242672	2042362
2500.6796	30.4162306859	1813932
1995.76752	22.3633322235	2061984
2234.837	20.529486693	2831828
2445.48266	31.3906967123	1664843
2355.5562	26.9342616057	1944977
2266.17828	16.8489344291	4174587
1981.91382	18.7419939368	2613559
2415.86949	21.1704413667	2676749
1659.73541	18.3726835283	2006454
2112.8569	26.9500497796	1655574
2660.55925	34.3689522594	1637389
1684.5141	20.9180385879	1651735
2550.71655	19.5579561473	3234859
2072.65361	19.8916717256	2929450
1913.82452	23.0576219658	1762553
2539.88799	29.9732048418	1898980
3062.28031	34.9328879339	2129929
2879.48294	34.6572922651	1900686
1673.15479	17.6445643698	2064067
1927.64116	15.0153317054	3071813
2113.72711	22.8734110588	2169082
1850.57789	15.701730156	3332239
2089.20078	17.2602584225	2722093
1977.85839	23.7716077431	1832299
2546.17428	22.5351175689	3052567
2374.93261	22.669349609	2697439
2234.96086	21.5203420298	2360734
2331.77163	30.804928299	1558794
1962.80637	17.1804259354	3374217
2706.31796	32.59424294	1854640
1877.87184	22.8085202213	1884625
2640.91448	28.7321483517	2160335
2830.00966	27.4126545721	2723307
3027.05351	26.474449733	3387551
3037.43559	39.9111741944	1726280
2741.67269	24.4828296325	2855204
2784.71334	21.6415325176	3503836
1594.39294	13.2938041003	3297831
2218.9407	18.0406297575	3196671
2292.89853	20.0402234197	2642296
1763.06388	17.5126737302	2573667
2634.52735	24.5556525515	3047234
2203.69213	23.0290358837	2170134
2980.05634	37.5630367146	1831518
1812.30902	15.1797270123	3257016
2738.08038	30.5213564128	2112884
2780.60577	22.3702025601	3669425
2622.52092	19.3160174717	4235761
1587.6164	18.8811913946	1872061
2486.45247	21.8484458236	2789674
1791.46197	18.1687596865	2517322
2234.37155	25.0069403891	1967514
2506.24822	24.5450357275	2383947
2126.05487	19.5317510708	2530947
1838.74237	19.5220025781	2235617
2175.70632	22.4703170202	2402080
1948.30792	23.5693199476	1766199
2515.27757	21.9502546167	2955757
3045.23304	32.1124757559	2321611
2564.62935	27.063163376	2284741
1826.27647	14.9012856487	2703792
1962.21993	25.1236654806	1585460
1651.70853	16.2251094446	2342094
2173.01483	24.6842295592	1991720
2260.00769	21.6892441181	2537096
2675.74072	21.7371078273	3591221
2428.95963	31.458288136	1655527
